kemendagri_kode_provinsi;kemendagri_nama_provinsi;kemendagri_kode_kabupaten_kota;kemendagri_nama_kabupaten_kota;tahun;kategori_area;luas_areal;satuan
11;Aceh;11.01;Kabupaten Aceh Selatan;2017;Tanaman belum menghasilkan;2012;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2017;Tanaman belum menghasilkan;735;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2017;Tanaman belum menghasilkan;11066.5;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2017;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2017;Tanaman belum menghasilkan;4065.9;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2017;Tanaman belum menghasilkan;1075;Hektare
11;Aceh;11.07;Kabupaten Pidie;2017;Tanaman belum menghasilkan;38;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2017;Tanaman belum menghasilkan;3173;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2017;Tanaman belum menghasilkan;1608;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2017;Tanaman belum menghasilkan;5525;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2017;Tanaman belum menghasilkan;2116;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2017;Tanaman belum menghasilkan;1651;Hektare
11;Aceh;11.13;Kabupaten Gayo Lues;2017;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.14;Kabupaten Aceh Jaya;2017;Tanaman belum menghasilkan;5338;Hektare
11;Aceh;11.15;Kabupaten Nagan Raya;2017;Tanaman belum menghasilkan;9443.64;Hektare
11;Aceh;11.16;Kabupaten Aceh Tamiang;2017;Tanaman belum menghasilkan;3654;Hektare
11;Aceh;11.17;Kabupaten Bener Meriah;2017;Tanaman belum menghasilkan;828;Hektare
11;Aceh;11.18;Kabupaten Pidie Jaya;2017;Tanaman belum menghasilkan;417.5;Hektare
11;Aceh;11.71;Kota Banda Aceh;2017;Tanaman belum menghasilkan;;Hektare
11;Aceh;11.72;Kota Sabang;2017;Tanaman belum menghasilkan;0;Hektare
11;Aceh;11.73;Kota Lhokseumawe;2017;Tanaman belum menghasilkan;103;Hektare
11;Aceh;11.74;Kota Langsa;2017;Tanaman belum menghasilkan;8;Hektare
11;Aceh;11.75;Kota Subulussalam;2017;Tanaman belum menghasilkan;7301;Hektare
11;Aceh;11.01;Kabupaten Aceh Selatan;2017;Tanaman menghasilkan;8078;Hektare
11;Aceh;11.02;Kabupaten Aceh Tenggara;2017;Tanaman menghasilkan;1663;Hektare
11;Aceh;11.03;Kabupaten Aceh Timur;2017;Tanaman menghasilkan;13384.5;Hektare
11;Aceh;11.04;Kabupaten Aceh Tengah;2017;Tanaman menghasilkan;0;Hektare
11;Aceh;11.05;Kabupaten Aceh Barat;2017;Tanaman menghasilkan;4671.4;Hektare
11;Aceh;11.06;Kabupaten Aceh Besar;2017;Tanaman menghasilkan;507;Hektare
11;Aceh;11.07;Kabupaten Pidie;2017;Tanaman menghasilkan;30;Hektare
11;Aceh;11.08;Kabupaten Aceh Utara;2017;Tanaman menghasilkan;12360;Hektare
11;Aceh;11.09;Kabupaten Simeulue;2017;Tanaman menghasilkan;1645;Hektare
11;Aceh;11.1;Kabupaten Aceh Singkil;2017;Tanaman menghasilkan;22741;Hektare
11;Aceh;11.11;Kabupaten Bireuen;2017;Tanaman menghasilkan;1891;Hektare
11;Aceh;11.12;Kabupaten Aceh Barat Daya;2017;Tanaman menghasilkan;16740;Hektare
